ID,feature_vector
18,"{-2.024905004474995,0.6038976271121467,0.5606377262052192,0.3491890162203099,0.2321960158423733,0.7504616726852167,-0.5827538865317441,-0.6429171006227274,1.1153557772710865,0.5348940890142717}"
19,"{0.0550252687758828,-0.0692445398680337,0.7088645032544759,0.6761976639655098,-0.4227411632978921,-0.2511339810606667,1.2116313221825712,-1.7575576722135282,2.078089848675849,-0.387397695114171}"
20,"{-0.7399970189934103,-0.6860687203719046,1.3414541495731709,0.2757132576365247,-0.7112479754901453,1.6841628449417565,0.529158246653776,-0.0964423342845175,-1.5240207310376304,1.104203525097739}"
21,"{-0.4283807723435029,-0.9201432295734392,0.8053005017510847,0.4169666115493829,-0.2864258385562162,-1.278329977755903,0.0995113136905686,0.176437876265213,0.9192788091608496,-0.3413283376532643}"
22,"{-0.9056690915726812,0.5655541637307828,1.3120369583745874,-1.5302220293859246,0.4442122468173196,-0.6284370387654773,-1.702214376756793,0.2072172222354037,-1.5886462056459676,-0.0559610870954724}"
23,"{-0.6617422056879286,-0.3577223349525282,1.3424347556652965,3.012711630237402,1.0149431832368727,0.3301725111127824,2.531716415047647,0.4182814226859816,-0.726894069347836,-0.7858911482429888}"
24,"{0.3915328584936955,0.0824509316665991,-0.5659460842131212,-1.3458552050595876,-0.6222807496669666,0.2984450088104549,0.3136703483792002,-0.8933963766108358,0.3882887557552399,-0.3428787283199839}"
25,"{1.7586772746812265,0.710078197012034,0.4694510510391348,-0.6194159667939164,0.0764437301391706,0.6342653112826293,-0.3113470033495769,-0.4388098025810681,0.2060940303482192,0.0148003918507551}"
26,"{-0.5359134235567559,-2.143765196615648,1.1303443975898662,-1.2791793116252386,1.5701387028794995,0.6467642630074949,-0.4050452782255428,-1.1463772519989364,-0.6983762311570525,1.3927340820080518}"
27,"{0.5763948816135707,-1.0704833286528417,-0.7862339553598989,0.6163683684529453,0.2518545221003412,-1.097013065728736,0.2452530071671195,-0.9032172200769362,-0.121965687176599,-0.7879770639754954}"
28,"{-0.1660478564854849,-0.7787410825220975,-1.044833616059493,-1.0639431020100196,0.1067716990448515,-0.7274281581847031,-0.0700946217616438,0.4355934560364297,0.3886140157168291,-2.117274493824523}"
29,"{-0.555416492089735,-1.1301857029086106,-1.0373531993970675,1.4819501951941458,-0.2060350192740647,-0.2871835999324456,-0.5096759668045744,-0.1294671477492548,0.0053880088362713,-0.7020582523971592}"
30,"{-1.025872419940474,-0.9362508842707452,0.9068120435579582,-0.8110303973738173,0.7099509551888438,-0.5750894645535943,0.114319729708793,1.131057381920766,-0.5171474555187413,-2.438146778541922}"
31,"{-1.6528811141960658,0.3191191488775174,1.8922482982183704,-0.7465691452409352,-0.1034496436730247,1.4547636049169308,-0.6874738097230512,-1.892730549104444,1.1839503119849513,-0.1828610225612959}"
32,"{-0.9707068205369986,-1.19540651299978,1.09448236351292,-0.2977599015078579,-1.3937905305847342,-0.2872785008218244,-0.2743962521273737,-0.4041086918050081,-1.486652549650629,0.99829892045524}"
33,"{-0.824420474640243,-2.0954768351718256,0.5454667301863806,1.3318080194273625,-0.4647267926839841,0.1715222767088237,1.3208626353459394,1.3839259117618523,-0.7598320435128432,-2.0959286243541766}"
34,"{1.2463469081058882,0.4475332751857332,1.079668309666832,0.0526347382691322,-1.6239135807529468,0.6833022256352969,0.3986632878143772,1.9389835416853984,-0.3368370702851768,0.4613988256545248}"
35,"{2.2041665301214963,-0.5721415488365892,-2.128861212560683,0.2876328187969085,1.4436697527408753,-0.0128345516484296,-0.8317440194248433,0.0744385354951622,0.5469945326204767,0.6975766184812991}"
36,"{-0.2364919211057785,-0.0206098934946031,0.389070566653846,-0.7802026638057009,1.8790111972780128,-2.0748597609397788,0.7338468049247532,0.9077277398552956,0.5400575048797079,-0.1084512519002274}"
37,"{1.546944235499928,1.382019133297938,0.0604315167888667,0.4512032233041551,1.2258422744935318,-1.1846839467808885,-0.2224911033317277,0.5789578833723344,0.7486784938097765,0.807295292735449}"
38,"{0.2310392582992689,-1.0389766472026247,2.6311149486328067,0.9126853551864772,0.0272772156167812,-0.2001628524385228,-0.0053406863100564,-1.3494312222133469,0.0406764779749267,0.3038481663862072}"
39,"{-0.1758621125017681,-0.2409635845818196,0.0681798973137198,1.098907146897396,-1.927846679188001,-1.3316026703853048,1.47423603517793,0.9868894020540832,-0.1756355519853111,0.6982989586622734}"
40,"{0.6388069664097661,-1.3649010815900091,1.3929840720596909,-0.8663058748265464,0.5599294318995565,0.2395185011309649,-0.0525367569107746,0.1908255727150275,0.3223686359577418,1.1608273363602122}"
41,"{-0.6883493571490658,0.0836416645201675,1.1049724977427533,-0.5269773191571473,-0.4128381966593374,-1.000852905346893,1.4186840431884031,0.1474126939710028,0.1916399048146835,0.3520934357345183}"
42,"{-1.0963190479014655,1.1925557387545132,1.84797231153137,0.4695549388755145,0.2434954881920511,-0.6599906553117146,0.4267436496640264,1.00191033791364,-1.5699623271745116,-0.2798914777507481}"
43,"{-0.2731743773195859,0.5973997408680908,0.4579970051884739,2.0509031132916995,-0.715616303685987,-0.4345299364941673,-0.94258634872495,-0.1003443651650732,0.5378808295069286,0.0690479500010681}"
44,"{-0.7882839431216884,1.9435203415165825,0.2795241913590943,1.1033687151208649,-0.0662408414393056,-0.2124595658144024,-1.017731906762493,0.8086044627527879,-0.1231504036473348,-1.6814337230234773}"
45,"{1.4938291632296774,0.5847250726635771,-1.1221028175011285,-0.323109410881176,-0.7661144196510292,0.4317152245162916,-0.4283861555119079,0.2396380329323495,1.5390568978608254,-0.395685003372933}"
46,"{0.6402509263174471,1.4320214318721929,-0.0628516331326888,0.6136901997278438,0.0653933507772809,0.2862173607062973,0.5420116446049188,2.550642218454945,1.5378141657785065,-0.9774527970067752}"
47,"{0.4205656802894366,-0.5862364012080015,0.6822143614224991,-0.5675891944862282,-0.3149260189312248,1.6993480432396486,-0.2846725825775322,-0.6832003280970518,-1.7563674249376393,-0.3413341453577579}"
48,"{-0.8740431250365414,-0.0840910259653381,-1.3032270397015462,-0.9054678218773404,0.9152994355002824,-0.2416011495718028,0.8192526693515709,0.5284232813782762,-0.1069914605573836,-1.6535231796954508}"
49,"{-2.039262297663056,-0.7533491133641598,-0.3233362007295907,0.292984897011521,0.410594362053085,-0.8341726654949351,-0.3196250011237828,-0.1232779522519346,-0.6993439303222319,0.4492655883880223}"
50,"{-1.7125551064002846,0.010452456328763,0.4415564935199615,0.0039375500847054,-0.7482211326487376,-0.3272361040578959,0.5050382642108269,0.2353725280300893,0.1530099861665862,0.2441465084300984}"
51,"{0.7102388243061343,0.8070453630174222,0.4899912181716298,-0.2314276963636287,-0.2496022654989806,-0.2115936253313851,-0.0736035536773467,-1.0070792656985768,-0.5992905546665058,2.54344467016839}"
52,"{-1.1258899007225172,-0.5523927124196975,0.3875874673817132,-0.6539468281127238,-0.0605373905489379,-0.2702635173172422,0.3064150666254391,-0.9952327314139702,-0.4510978192667135,-0.2479120096352586}"
53,"{0.2358231985466248,2.2813918667207607,-1.923933990078858,0.0815979161510574,0.1813438126495731,0.0361808819622405,-0.7743145258245925,-0.5517988266422278,1.556622130613437,-0.28957528805534}"
54,"{0.3408450770853703,-0.6223364872178548,0.2584281522160808,-0.1295337493631492,0.4868189317089995,0.5559872496428518,-0.0190710771418785,0.3065042693931326,1.628937287297571,1.9606212125552875}"
55,"{-0.3919596032952084,-1.6447606399728325,1.496354695532733,0.1959706492546146,-0.9836555365669368,1.179351676509642,0.4748513758421127,1.5381002914610566,0.9299240462741992,0.2347173785978814}"
56,"{-0.3369049753532193,0.4180509780806216,-1.1327576030665718,0.6421514208768817,-0.016729254118603,-1.0248549569749277,-0.5868079715043035,-0.600555968345867,1.2610186144459117,0.3208059389979966}"
57,"{0.0781496780320421,-0.1159948139202741,0.402158352069143,3.1253176091474044,0.98580742216945,-0.637267315947398,-0.7333098774095874,-1.1323889573765311,1.1450281339899049,-1.1341815058065476}"
58,"{-0.7986935801276748,-0.7046351613541345,-1.2624544842727734,0.203968068635632,1.523119299421405,-0.3561125435204413,-0.9994538142187248,-2.5231777148380865,0.5502556559541705,-0.3910484827807838}"
59,"{-0.3494941161516789,-0.9782939439401924,-1.655268956653908,-1.1565636500459129,-0.0460462919284038,0.8395791127485662,1.1599226226661097,0.3328015501183229,0.2992220821105011,1.5361869790516771}"
60,"{0.5872625850687283,-0.1006595642292122,0.5167639288630219,-2.0986846202881497,1.3702991957585744,-0.6940690241902541,1.1749521876479443,-0.0568447596880908,-0.0370316300273195,0.6784986516339065}"
61,"{1.3807455834128242,-0.2240137784007634,-0.4232007328521692,-0.1016987001868565,-0.1613336934941971,1.5421817378755764,-1.3667847269519835,-0.6596859380534736,0.0288511108547364,-0.8731077376573012}"
62,"{0.0550055266473339,0.533439417467063,-2.5869133063617267,-0.8342349287082709,0.1523404807821766,1.5148971228962378,-0.3501819235070164,-0.8128839020641732,-0.6395283291615999,1.6544732845699412}"
63,"{-2.0061123318658423,0.5542805526790632,0.56040932692001,1.3073813000304422,-0.2784860898622444,-0.6808426048172957,-0.5788406145570009,1.8860108972485523,1.2922002479904282,0.0660851442141889}"
64,"{2.7651641427712503,-2.3303334752551765,-0.6365635043630359,-1.5134883931828755,1.3837259990304678,0.7733068026184976,-0.6623730699753173,0.0657193201401953,1.5317876112580031,0.8034561005662334}"
65,"{-0.8240386879511528,-0.9668256549165704,0.7614226959409464,0.0861837138465711,0.0239190874290643,0.4768903310736014,-0.1609663472276356,1.1998178597117308,0.582050987764161,-1.096583423904499}"
66,"{0.6435134883961928,0.2542196471372323,0.7686115398431469,0.4443415311403506,-0.4727639428149575,0.7828092752883639,-1.2218195144216248,1.0333938035560353,-0.988902412556572,0.431863133385939}"
67,"{-0.4271159469228751,0.740044445119718,2.203573161964775,1.779385407354998,-1.1999711942808295,0.7362756555155442,1.473317547059486,-0.5221042431351451,0.5545298567879338,-0.2145816716143284}"
68,"{-0.7111052995685875,-0.2149330274719356,-1.4838822867856958,-0.654426284386077,0.7460720851888487,-0.4903644966820223,-1.2922076903994923,0.6602728528749423,-1.7806059735521562,0.4067226534122199}"
69,"{-0.0659876110996029,1.1287857296454626,-0.0908960235463381,-0.2783771276429911,-1.4488111036424585,1.1762625631560326,-0.0848143207821341,0.2966866035732352,1.0122168298415204,-0.3591746284351837}"
70,"{0.590309743822745,0.7461428515156555,-0.0840059980484019,-0.2645485124326789,-0.1807661026298869,-0.325456452868368,-1.4044058220822897,0.7510485637228005,-0.8824502674970974,-1.259468153705904}"
71,"{0.7613193540770091,0.5514205095459669,0.3400777338179088,2.3417343981458423,-1.0551459306130746,-0.1427071735931646,2.0312243537438097,0.1971758577671675,-0.741698925133461,0.1996521076302947}"
72,"{0.6293192967008937,0.39168628367325,1.2844671878050775,0.6168683380701486,0.6154704065545608,-1.2922342547658712,-0.0272279926240153,-0.2523324570553407,-1.849107686370716,-0.0175666880990938}"
73,"{-0.0403434137431166,-0.11680982545615,0.3549825039233574,-0.1567160607316788,0.0641072660265058,-0.188066681673647,0.6356221664618018,-0.5980077297468822,2.194624815063948,0.2588686960438544}"
74,"{1.260538924868954,-1.224282199206166,0.3167221263150935,0.8970040949891901,0.2545648378666857,0.0663808991177922,-0.5083746078894807,0.1673659809469272,0.7165560953266229,0.1644260718645811}"
75,"{0.3138861062763957,-0.4930916444074888,1.0813921825614463,-1.3678952150707508,2.205067464276988,-1.3124162781072273,0.9413052217963328,-0.3388223817263614,0.7524421519988658,-0.2030696981538136}"
76,"{0.1547893403196001,0.2134004696758695,-0.1738529893573012,1.071264688622415,-0.459991227782695,0.011996155454533,0.5719229390953785,0.588988663732397,0.9282177494386692,-0.6156881229816409}"
77,"{-0.5365438402647805,0.3896340549394307,1.490080516860073,-0.5023282763645938,-1.1042438696770414,0.8207425480065987,-1.7351768437331905,0.5727833159687659,-0.1678183530945401,0.8259443954320641}"
78,"{1.1859216838203046,-1.927995878949719,-0.5790738610080121,-0.3211601151359379,3.1767189724135774,1.2891247935999235,-1.2069902118701483,-1.1331076497160162,1.0180129595275156,-0.7597083140962985}"
79,"{1.081975815631752,0.6673362646166581,-0.139550311263179,-0.6701939024475811,1.9458302162611767,-0.7600883236624152,0.9467152757566738,-0.4973992384230636,-0.3097929398435257,0.1581281592396301}"
80,"{-0.2456350595160605,-0.1922552935332337,0.4826966044339505,0.3385312760072266,1.2926399309587833,0.0002506707891594,0.4029301376822916,-1.4192548487508163,0.3752595558924583,-0.739655262507084}"
81,"{-0.1681660381678156,-0.1513486404494877,1.2738419868415995,-0.7577870545535603,0.4825357937674299,-0.2965825341684561,-0.4833471169977338,0.5377228448783646,-0.4753275358314383,-0.387316398494367}"
82,"{0.0472202401673712,0.7569832785938693,0.16656624207778,-2.3886729128099247,-0.0558552908972415,2.0634881573884423,0.6659124994791774,-0.7296335379704264,-0.9329222716312358,1.3575413377232617}"
83,"{-0.497189491049297,-0.469596720190354,1.88315645314466,0.2000546552950694,0.3681991988131073,-1.7260268137746366,-0.0012457839409291,0.8437332377012586,1.487415401938047,-0.9264688745956496}"
84,"{0.6694949870559929,-0.3707110819630392,-0.1578666070136252,-0.2623236391820409,-0.0846172754884559,-1.151792285089335,0.173786191943492,0.8043471977836969,-0.972651907383358,1.3299877213394156}"
85,"{0.2290033658460626,0.1623914525509761,-0.6038224468290196,-0.5834495346797473,-1.0113760142283483,-0.3831452003124156,1.5125587025557805,-0.2243285792523488,-0.4766901251580021,0.5958666732511556}"
86,"{-1.676063332950837,0.217801407370506,-0.0851395819682299,0.9171011762649308,-1.405193331221744,0.3698656034323536,-0.1400824369948634,-1.0533584102170137,-0.9896426234986077,0.2699958160762722}"
87,"{-1.1252113569006026,-0.4627616106460364,0.3362006918835161,-0.7050475680065201,-0.435197355380536,-1.5443561851970755,-0.6253177169678544,0.2173244735180308,0.198904739644527,-0.40218597378232}"
88,"{0.4645256210532687,-0.6333091832968896,-0.6390083845927286,1.7215775982039152,2.1587954535413583,1.4370609032697286,-1.0388686473937858,1.29938503254871,-1.790741785874543,0.0218954337881562}"
89,"{0.3654567308655971,0.7979070220195364,-0.9204898114501076,2.2867915241303938,-1.759358161204183,0.4562413162570739,1.0999350763377844,-0.2734058875552195,0.7040235419114281,-0.3250042441114098}"
90,"{1.5872602961280424,-1.341116992979786,-0.4778900342057618,-1.8438835829286744,-0.5719422624380862,0.6281741964277067,0.2636746456198979,0.2417174514603761,-1.7145049642981025,-1.8918872390836363}"
91,"{-0.5472352532521372,-0.4498063290434986,0.4167290996072997,-1.615731016035836,1.0581123365281466,-0.8549242894923724,-1.027455175344132,-1.2324107984767136,-0.5608764401883964,1.8043325012026643}"
92,"{2.197656480068863,2.4150291336513336,-1.3278742871617997,0.8582152723650884,-0.1690759529301048,-1.5342383100636856,0.8610037981947268,-0.8733451018745803,-0.7861410008673007,1.645851534958337}"
93,"{0.7515186613187224,1.1652305769479123,-1.7227142400277236,0.3776193705947345,0.4583387086451895,0.4103675539926262,0.9349589600593032,0.0826081523599196,0.5004251030080112,-0.8319322904080231}"
94,"{0.5088929397806486,0.0667991690569261,1.0709085697357388,0.587590066314384,-1.8455190947858944,-0.8978941468523356,-0.650508851897001,0.475239570628246,-0.5737628987108536,0.8646128907233177}"
95,"{-0.1187055318242873,0.1041470288276071,-0.3389518805800178,-1.6783721451354,-0.9916559440719416,0.7614962190201079,-1.142277155778867,0.7367717074375483,-0.6528836808188476,-0.8373956464183929}"
96,"{0.3045001084635171,-0.5338331349941032,-0.4324639474997858,-0.9028712576157238,-1.22199464382708,-0.1614135433570648,-0.0139821478050382,-0.7262115612870086,2.4310689427957515,-0.9343898098520396}"
97,"{-1.4398661391664425,1.1827265410264802,-0.3108785581624583,-0.1062856310986318,-0.4092869193972645,0.0651689972167834,0.597421357932824,1.5025722134322723,0.1411265321119018,0.559520218679458}"
98,"{-0.730015166175296,-0.1645568958959648,0.40909846525714,0.4633641238772092,-0.6411012050680895,-0.091203292533402,1.161210417320286,0.3759375520462752,-1.9391607811731064,0.4579895712085876}"
99,"{0.1794611334570779,0.3928970167494041,-1.58539848427714,1.12163627547567,0.1442933304248864,-1.0891905382264977,1.066601132280861,-1.2451148140329915,0.3596266071801006,0.6078565313277539}"
100,"{-0.0855237380131064,0.8863558980987526,-1.3423916470992767,1.079798130516378,0.7788520018146895,0.0630115678458706,0.4206692618859818,-0.2476557100227689,-0.4305579628561559,-0.0033050146283308}"
101,"{0.3235130371151525,-0.3227776300221694,-1.2791499817354917,2.0247495143203853,1.396534443142024,0.7380606860145021,1.556459186344796,-0.5528323970200018,1.590186999575539,1.4557376475700556}"
102,"{0.4938017449547926,0.5226514911777408,-0.3744812553168772,-0.0246007051309349,-0.1238687068306724,0.081873951178479,-0.0779350433986408,-0.1043023088754375,0.6756204937065411,0.939839333488912}"
103,"{-1.2820845074052305,0.4013381144089667,-1.8006545936293783,-0.0083170717263511,-1.0551538950077906,0.3488647083563668,-0.3230065444554286,0.1209261569581161,-0.137120915222648,1.2621496292173635}"
104,"{-0.2292484641921592,0.8328478049028036,-1.0805004987123077,1.547354531975364,0.577002362116269,0.8286998255228782,0.8002421880755611,0.8037701183367437,-1.0499781792969722,0.0604001561773244}"
105,"{-0.0350967069302663,-0.2026070863090748,0.1658224116886453,0.2776591277966612,2.003842695240404,-1.569787852329103,0.4738570076895438,0.6334395097270743,-0.9641904292977416,0.4645968543847833}"
106,"{-0.332190416908618,-0.8363365273144722,0.139662079796107,-0.7616132194205928,1.4054507304849686,0.1897608769745536,-1.1278587281475765,2.3604044119313325,-0.6425772402341797,-0.6647924811866194}"
107,"{0.3518100017003791,-0.3471296914378833,0.4947048938460289,0.4482650684157198,1.4892805564058458,2.764054080224127,-0.2131008349279606,0.2968673609516227,0.5252626997621022,-2.185412280925339}"
108,"{-0.0347983147113535,-0.1901678756653215,-0.6355213566733477,0.2707058164803304,0.8238794815386671,0.78533443571424,3.5909974676471963,-0.2374855839913286,0.0980157808801707,-0.6621418939122129}"
109,"{-0.6521096479736761,-0.3344189627591801,-0.8483741783749554,-1.046799332641855,0.6585827959697718,0.3635259859017375,1.079622994082494,-0.3621100756000129,0.6427744913234261,-1.582968040551446}"
110,"{-0.6812841733835976,-1.355015374902758,-0.297831673989567,1.0600872897515516,-0.5997606966428475,0.6891561277766521,2.838723315645776,0.308975456528667,-0.485834877934737,0.1632387739476535}"
111,"{0.5858847150753885,-0.5353034872138007,1.5763242824074135,-0.0188677116528986,-1.302354890844785,-0.5951371592426243,0.7838024010751264,1.727903446299951,2.073721852129432,0.9658828298950964}"
112,"{-1.391035688188428,-0.3600066927339937,0.887552986452565,-0.4313510381835825,0.2240361088626417,0.5211510469560297,0.744285513630484,-1.6827053278116737,0.1302562471246131,-0.843087282272568}"
113,"{0.5260708418184075,1.0027545207649802,-0.6914571050991982,0.6856994604421911,0.3612475006172723,1.9943508421338816,0.2169230974440917,0.1459741161992075,1.276154066280635,-0.4801563738810409}"
114,"{-0.3272426649223076,-1.04521755962379,2.3852362138365533,0.1435683325262461,0.6820568734149279,-0.6057267209006816,1.0390093895671653,1.2896112958133443,1.0289964035719092,-0.9569642694779246}"
115,"{0.1742829343307206,0.915877943615093,0.1622694688196421,-0.860327488128938,-0.5662862894159508,-0.2704993036006604,0.2746223149850513,0.0501662562065555,0.1153794450079374,1.0116650266851603}"
116,"{0.7374381799136183,-0.8473644009632751,-1.4783005160738862,0.1975364001278147,-1.0544870692416008,-2.199278452433053,-0.8142518939976721,-0.0027819635777373,0.5610446298528908,-0.581855254557822}"
117,"{0.3408648301207212,-0.1993758619211863,0.8174859183230858,0.137225005396847,-0.7544778102209064,0.8334038105636811,-0.647821071599631,0.3276681087991297,0.959899305393162,-0.5579069909112021}"
118,"{-0.6871058318681803,1.0482503765825113,-0.5490683683701756,-0.2186760268476351,0.9327419692544952,-0.8716624156648369,-0.1707668150929511,0.0710279077244642,1.1760082367603055,-0.1062505967579825}"
119,"{-1.6356805828257768,0.8732236963037123,1.891632212780024,-0.0423118452931366,1.342330945437232,-0.2714658066409302,0.0028641358085378,-0.4692376713880747,0.4469852712389369,1.0941898767022429}"
120,"{-0.0376759801800761,-0.6021111374325607,1.3108314534449936,0.749009663033681,-1.2800130181280955,-1.9934093427078663,1.1097676841561148,-0.7186043163725239,0.30417819090267,1.036930522578614}"
121,"{2.288009527628584,-0.7388116200062844,0.303239770243942,-0.2830687481339488,-0.8568991612676088,-0.8899723610811345,-1.8046962378008036,0.6122783971612386,-4.037195938729076,-1.1908771992417515}"
122,"{-0.4427139195899519,0.6484483516922669,1.621148095344538,-1.1045757117414154,0.0781925101000343,0.9597202514085414,-0.9384532439969728,0.6482708081222621,-0.0554546543250863,-2.5788860973008725}"
123,"{-0.6408080728833436,-1.0866201390174124,-2.24380051551335,1.1607071812250702,-0.4638448269057851,0.9704580650523013,-0.4235638972596387,-0.3579616739375393,-1.271414022434181,1.436779917068277}"
124,"{-0.4839626225766202,0.7471628797660086,0.915204826589058,1.0313338988230691,-0.158253689282993,0.2274014079535286,1.5466147842381044,-0.0536939190091379,0.6653723406318999,0.0118502545947238}"
125,"{0.3931662730105448,2.2116417095615013,0.1864322734380742,-0.3960403253779052,2.215667698864604,0.984908400736156,0.96559798467157,2.2116083171512235,0.4676431132635295,-0.5768309343680974}"
126,"{-0.5046385782760107,-1.3722142065362566,2.068932312371626,-0.5891337595106162,2.024101239694551,-0.3359676376608222,-0.3170610136969485,1.448526911159777,-0.355114750781887,0.1715229497234917}"
127,"{-1.2420524669081994,2.166729398912888,0.7573872426762164,-0.4202354652810641,-0.9740574686367416,-1.2322659550595507,0.112267578334388,0.2077078276790107,0.5950495514542392,-0.3129990128456073}"
128,"{0.6246595768923418,2.944581881718107,1.3584415020539873,0.8328489130550085,-0.757178143075481,1.8036930897427987,0.1335595723401325,-0.1912213208942496,0.3372613576940335,2.31611821004938}"
129,"{-1.559687426888744,-2.362037366659982,0.6334661287667018,0.4228332710331194,0.478409242825188,1.5258197155772313,1.6562227825686715,1.1917754417342843,-0.0816976663665436,0.7095646031361198}"
130,"{0.2533727871258406,0.924145668277898,-0.8882865901986816,2.04033176685719,-0.5231406441277354,1.0111971232243628,1.79838367688465,-0.4260419006075351,1.9501182970921247,0.2936618128274055}"
131,"{-0.0317643851247798,-1.0484957800822745,-0.3831821869855727,1.218000922512282,-1.088558270293322,-0.6772425884434654,-0.4184039205150159,0.5257828452545331,-0.9708886114108592,0.8027720924792406}"
132,"{0.6517945642750919,-0.6030543894329479,0.4171218079559771,0.1494347632300346,-1.4330137515835226,0.0274544601606911,-0.703050726768488,1.3354241517202052,-0.2799537385016024,1.3551005125067468}"
133,"{-1.111492130194816,-0.6248638239331676,1.7165857604124557,-0.5931294834751885,0.536103402645637,0.7901329744347556,-0.8720906412887962,0.9226447842587624,-2.424448934380881,-0.738608452834611}"
134,"{-0.1160469503690485,0.1654892766397207,1.231130524458088,0.4348232904761711,0.1158580003073458,0.0603913844338075,0.8404073486055028,-1.6785594132413604,-0.0342170606591061,0.0213097497975262}"
135,"{0.9422475532706908,0.9049050328848764,0.8722703478978383,-1.7645442486049971,1.4852474032767693,1.2179829198946697,1.35304291960437,1.2222673946558695,-0.2677807417339264,-1.3675209511167543}"
136,"{-0.1941846970694053,0.3495125210908734,-0.5067916745616076,-0.9865454123648988,-1.0176149452828367,-1.249347264617559,0.0441294686183322,-0.70325332842414,0.1319905709851594,1.6495392068476884}"
137,"{1.659268771375402,0.7740804786382949,1.5165730715816277,-1.4740255234991266,0.7551259817417191,0.0120278446441202,-0.3350496598367948,-1.2592723236387993,0.1750336602959541,0.1886425863009242}"
138,"{0.2519984688758541,0.273805227748107,0.4760884375713565,-1.9885348429112848,0.5214510711548005,0.4808174815104342,1.7713321277279888,0.0835759093401175,-0.3396165288332465,-0.2022661805017673}"
139,"{0.0243986247985877,-0.4783543743465246,-0.2078683398956926,-0.4387104685912987,-0.2353081475869302,0.5308374944912985,-0.5555403534448005,0.3922624056419501,-1.1843902571714238,-0.0779249103058583}"
140,"{-1.6362429648480603,-1.2045052746857443,-1.6168294257565163,-0.1458361504695243,0.6100400475553344,0.210386299521757,-1.6895087912614437,1.057161289708976,-1.015513448708096,-0.9600130009156516}"
